,DATA,drgania,gestosc,ruda,woda,obroty,prad1,prad2,prad3,energia
4330,2021-06-30 11:00:00,475.76140166666664,1829.3757333333333,142.91172333333333,67.185429,168.08333333333334,59.583333015441895,58.69166660308838,59.86666711171468,618.0
4331,2021-06-30 12:00:00,478.57322,1833.3131833333332,144.085685,67.20450416666667,168.0,59.04166634877523,58.1333335240682,59.30833339691162,617.0
4332,2021-06-30 13:00:00,453.4461033333333,1882.1260333333335,144.00069333333334,60.6292405,168.08333333333334,58.72499974568685,57.75833320617676,58.96666653951009,615.0
4333,2021-06-30 14:00:00,454.182095,1868.3330333333333,142.28940016666667,61.59173433333333,168.0,58.84999974568685,57.94999980926514,59.10833295186361,616.0
4334,2021-06-30 15:00:00,479.55255,1844.44995,143.76287833333333,65.53633733333334,168.0,59.53333314259847,58.583333015441895,59.68333339691162,616.0
4335,2021-06-30 16:00:00,416.958125,1901.8993833333334,144.99788166666667,58.796107166666665,168.08333333333334,58.933332761128746,57.958333333333336,59.191667238871254,614.0
4336,2021-06-30 17:00:00,506.79514,1821.1781355932203,139.00837054545454,58.39821166666666,168.16666666666666,58.70833365122477,57.78333377838135,58.983333587646484,613.0
4337,2021-06-30 18:00:00,615.92798,1887.6353000000001,144.47588,59.68521166666667,168.16666666666666,59.833333333333336,58.80000019073486,59.98333326975504,614.0
4338,2021-06-30 19:00:00,280.7583916666666,1883.2741333333333,143.18635666666665,60.28415866666667,168.16666666666666,60.30833339691162,59.350000063578285,60.47500038146973,625.0
4339,2021-06-30 20:00:00,248.39498,1881.3059166666667,141.88230000000001,59.738214,168.08333333333334,60.725000063578285,59.63333320617676,60.86666711171468,629.0
4340,2021-06-30 21:00:00,347.3296,1846.0732666666665,143.42015,65.85969633333333,168.08333333333334,60.67499955495199,59.50833320617676,60.92500019073486,623.0
4341,2021-06-30 22:00:00,334.84198833333335,1742.48675,139.19636666666665,78.22974983333333,168.16666666666666,60.699999491373696,59.74999968210856,61.14166704813639,635.0
4342,2021-06-30 23:00:00,278.13115833333336,1744.8162833333333,143.52111000000002,80.76012066666667,168.0,61.058332761128746,60.16666730244955,61.39999961853027,638.0
4343,2021-07-01 00:00:00,494.1761610169492,1735.4239661016948,145.1028,83.0851847457627,168.08333333333334,59.958333333333336,59.03333314259847,60.350000063578285,624.0
4344,2021-07-01 01:00:00,,,,,168.0,60.06666660308838,59.13333384195963,60.583333333333336,623.0
4345,2021-07-01 02:00:00,,,,,168.0,60.5083335240682,59.61666679382324,61.06666660308838,629.0
4346,2021-07-01 03:00:00,,,,,168.0,59.84999974568685,58.94166692097982,60.34166653951009,623.0
4347,2021-07-01 04:00:00,,,,,168.0,60.30833339691162,59.274999936421715,60.64166673024496,622.0
